2018-08-11 23:21:34,208 [      0]   INFO -        #com.intellij.idea.Main - ------------------------------------------------------ IDE STARTED ------------------------------------------------------ 
2018-08-11 23:21:34,255 [     47]   INFO -        #com.intellij.idea.Main - IDE: IntelliJ IDEA (build #IC-182.3911.36, 06 Aug 2018 11:34) 
2018-08-11 23:21:34,255 [     47]   INFO -        #com.intellij.idea.Main - OS: Mac OS X (10.13.6, x86_64) 
2018-08-11 23:21:34,255 [     47]   INFO -        #com.intellij.idea.Main - JRE: 1.8.0_152-release-1248-b8 (JetBrains s.r.o) 
2018-08-11 23:21:34,255 [     47]   INFO -        #com.intellij.idea.Main - JVM: 25.152-b8 (OpenJDK 64-Bit Server VM) 
2018-08-11 23:21:34,268 [     60]   INFO -        #com.intellij.idea.Main - JVM Args: -Dapple.awt.fileDialogForDirectories=true -Dapple.laf.useScreenMenuBar=true -Didea.classpath.index.enabled=false -Didea.config.path=/Users/nickmarino/IdeaProjects/tab-out/build/idea-sandbox/config -Didea.is.internal=true -Didea.platform.prefix=Idea -Didea.plugins.path=/Users/nickmarino/IdeaProjects/tab-out/build/idea-sandbox/plugins -Didea.required.plugins.id=com.nick.marino.tab-out -Didea.smooth.progress=false -Didea.system.path=/Users/nickmarino/IdeaProjects/tab-out/build/idea-sandbox/system -XX:MaxPermSize=250m -Xms256m -Xmx512m -Dfile.encoding=UTF-8 -Duser.country=US -Duser.language=en -Duser.variant -ea 
2018-08-11 23:21:34,268 [     60]   INFO -        #com.intellij.idea.Main - ext: /Users/nickmarino/.gradle/caches/modules-2/files-2.1/com.jetbrains/jbre/jbrex8u152b1248.8_osx_x64/jdk/Contents/Home/jre/lib/ext: [sunec.jar, nashorn.jar, cldrdata.jar, jfxrt.jar, dnsns.jar, localedata.jar, sunjce_provider.jar, meta-index, sunpkcs11.jar, jaccess.jar, zipfs.jar] 
2018-08-11 23:21:34,268 [     60]   INFO -        #com.intellij.idea.Main - ext: /System/Library/Java/Extensions: [MRJToolkit.jar] 
2018-08-11 23:21:34,268 [     60]   INFO -        #com.intellij.idea.Main - charsets: JNU=UTF-8 file=UTF-8 
2018-08-11 23:21:34,294 [     86]   INFO -        #com.intellij.idea.Main - JNA library (64-bit) loaded in 25 ms 
2018-08-11 23:21:34,338 [    130]   INFO -        #com.intellij.idea.Main - initializing environment 
2018-08-11 23:21:34,339 [    131]   INFO - .intellij.util.EnvironmentUtil - loading shell env: /bin/bash -l -i -c '/Users/nickmarino/.gradle/caches/modules-2/files-2.1/com.jetbrains.intellij.idea/ideaIC/2018.2.1/d14ace6f562c2e562803295282a563fa37d2d243/ideaIC-2018.2.1/bin/printenv.py' '/private/var/folders/s1/cfmlx4c92998y3cltc21pqb00000gn/T/intellij-shell-env.tmp' 
2018-08-11 23:21:34,562 [    354]   INFO - .intellij.util.EnvironmentUtil - shell environment loaded (16 vars) 
2018-08-11 23:21:34,594 [    386]   INFO - .intellij.util.EnvironmentUtil - LC_CTYPE=en_US.UTF-8 
2018-08-11 23:21:34,628 [    420]   INFO -     #com.intellij.util.ui.JBUI - User scale factor: 1.0 
2018-08-11 23:21:34,642 [    434]   INFO -     #com.intellij.util.ui.JBUI - System scale factor: 1.0 (JRE-managed HiDPI) 
2018-08-11 23:21:36,440 [   2232]   INFO - .intellij.idea.IdeaApplication - CPU cores: 4; ForkJoinPool.commonPool: java.util.concurrent.ForkJoinPool@8e9d7a2[Running, parallelism = 3, size = 0, active = 0, running = 0, steals = 0, tasks = 0, submissions = 0]; factory: com.intellij.concurrency.IdeaForkJoinWorkerThreadFactory@152a61c3 
2018-08-11 23:21:37,405 [   3197]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor duplicates-groovy.xml 
2018-08-11 23:21:37,903 [   3695]   INFO - llij.ide.plugins.PluginManager - 35 plugins initialized in 1099 ms 
2018-08-11 23:21:37,904 [   3696]   INFO - llij.ide.plugins.PluginManager - Loaded bundled plugins: Android Support (10.3.1.2), Ant Support (1.0), Bytecode Viewer (0.1), CVS Integration (11), Copyright (8.1), Coverage (182.3911.36), Eclipse Integration (3.0), EditorConfig (182.3911.36), Git Integration (8.1), GitHub (182.3911.36), Gradle (182.3911.36), Groovy (9.0), I18n for Java (182.3911.36), IDEA CORE (182.3911.36), IntelliLang (8.0), JUnit (1.0), Java Bytecode Decompiler (182.3911.36), Java Stream Debugger (182.3911.36), JavaFX (1.0), Kotlin (1.2.51-release-IJ2018.2-1), Maven Integration (182.3911.36), Mercurial Integration (10.0), Plugin DevKit (1.0), Properties Support (182.3911.36), Settings Repository (182.3911.36), Smali Support (1.0), Subversion Integration (1.1), Task Management (1.0), Terminal (0.1), TestNG-J (8.0), UI Designer (182.3911.36), XPathView + XSLT Support (4), XSLT-Debugger (1.4), YAML (182.3911.36) 
2018-08-11 23:21:37,905 [   3697]   INFO - llij.ide.plugins.PluginManager - Loaded custom plugins: Tab-Out (1.0) 
2018-08-11 23:21:38,986 [   4778]   INFO - ellij.vfs.persistent.FSRecords - Marking VFS as corrupted: '/Users/nickmarino/IdeaProjects/tab-out/build/idea-sandbox/system/caches/names.dat' does not exist 
2018-08-11 23:21:38,987 [   4779]   INFO - ellij.util.io.PagedFileStorage - lower=100; upper=435; buffer=10; max=435 
